run_id,round,kind,started_utc,started_local,elapsed_s,powder_id,display,batch,blocks,battery_version,status,qc_valid,qc_verdict,qc_reason,preflight_verdict,preflight_mg_per_rev_fw,preflight_per_rev_mg,preflight_tilt_deg,preflight_rpm,read_path,location,n_doses,env_shock_events,env_retries,env_unsettled_brackets,caveat,issue116_comments,commit,first_commit,data_dir
20260820T214823Z_silicon-110-200,1,battery,2026-08-20T21:48:23.367756+00:00,2026-08-20 15:48:23 MDT,905.2,silicon-110-200,Si (-110/+200 mesh),metal-2026-08,ABCDE,2,ok,True,ok,,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,0,28,12,118,,,,585207b 2026-08-20,data/battery/20260820T214823Z_silicon-110-200
20260821T151337Z_alsi10mg,1,battery,2026-08-21T15:13:37Z,,1265.7,alsi10mg,AlSi10Mg,metal-2026-08,ABCDE,2,ok,True,ok,,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,0,81,38,186,,,,d9c99bd 2026-08-21,data/battery/20260821T151337Z_alsi10mg
20260821T161838Z_silicon-325,1,battery,2026-08-21T16:18:38.225294+00:00,2026-08-21 10:18:38 MDT,810.4,silicon-325,Si (-325 mesh),metal-2026-08,ABCDEG,2,ok,True,conveying-slowly,"feed at or below 0.1 mg/rev at 0 and 45 deg and 1.2 mg/rev at 90 deg; recorded as an upper bound, block C confounded with run order",,,,,,read_stable,shared_fume_hood,3,0,0,0,,,,266b07b 2026-08-21,data/battery/20260821T161838Z_silicon-325
20260821T170712Z_barium-chloride,1,battery,2026-08-21T17:07:12.015465+00:00,2026-08-21 11:07:12 MDT,789.2,barium-chloride,Barium chloride,inorganic-2026-08,ABCDE,2,ok,True,ok,"block A hard zero, 0 shocks, 0 retries, max per-trial sigma 0.2 mg; block C at 0 and 45 deg charging and at 90 deg decaying, so use block E's 37.4 / 190.8 mg per revolution at 0 / 45 deg as the steady state; block D per-speed split contaminated by inter-trial carry-over",,,,,,read_stable,shared_fume_hood,0,0,0,0,,,,c5fdbdc 2026-08-21,data/battery/20260821T170712Z_barium-chloride
20260821T182705Z_fumed-silica,1,battery,2026-08-21T18:27:05.961034+00:00,2026-08-21 12:27:05 MDT,929.4,fumed-silica,Fumed silica,inorganic-2026-08,ABCDE,2,ok,False,no-conveyance-outlet-unverified,"conveyance <= 0.25 mg/rev over 350 revolutions, but the delivery end could not be visually confirmed (draft cage blocks the bench camera) and block E tilt 0 deg carries a solenoid-impulse artifact",,,,,,read_stable,shared_fume_hood,0,25,16,60,,,,542e023 2026-08-21,data/battery/20260821T182705Z_fumed-silica
20260821T192031Z_salt,1,battery,2026-08-21T19:20:31.212009+00:00,2026-08-21 13:20:31 MDT,872.5,salt,NaCl (control),food-safe-2026-08,ABCDE,2,ok,True,ok,"blocks C and D stand: block A no-actuation spread 9.4 mg (sd 2.9 mg, the tightest since the fume-hood move), median per-trial sigma 2.8 mg against a 146-265 mg/rev signal, and the block C / block E consistency ratio at tilt 45 deg is 1.06, inside the 0.74-1.12 band. Two caveats, not folded into the means: (1) the block E tap quantum is NOT resolved -- +9.0 mg/tap at tilt 0 deg but -4.1 mg at tilt 45 deg, where the re-feed rotation is 3.9x larger, an ordering a tap cannot physically produce; (2) the block B tilt 0 deg hold reads +41.9 mg with a per-trial sigma of 39.7 mg, so it is consistent with no discharge but does not independently establish it.",feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,0,13,10,64,,,,eb29aca 2026-08-21,data/battery/20260821T192031Z_salt
20260903T163527Z_salt,2,battery,2026-09-03T16:35:27.282874+00:00,2026-09-03 10:35:27 MDT,148.7,salt,NaCl (control),food-safe-2026-08,H,3,ok,False,doser-scale-unreadable,"three-phase doser requires a stable (ST) balance frame; the balance held ST for 0-2 percent of frames during actuation, so 4 of 6 doses aborted scale-error and the tare was refused on a fifth",feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,6,0,0,0,shared hood; read_stable doser read path: balance 0-2 % ST frames once rig actuated; refused tare -> phantom 7.5393 g,5528661410,claude/issue-116-20260903-1617@b7d38a1,b7d38a1 2026-09-03,data/battery/20260903T163527Z_salt
20260903T170437Z_salt,2,battery,2026-09-03T17:04:37.854828+00:00,2026-09-03 11:04:37 MDT,77.5,salt,NaCl (control),food-safe-2026-08,H,3,ok,False,doser-scale-unreadable,,feed confirmed,,,90.0,30.0,read_stable,shared_fume_hood,6,0,0,0,shared hood; student using fume-hood compressed air; 0.00 auger rev on all six doses; dose 5 '1.541 g' = pre-flight salt left in cup,5529102139;5529245844,claude/issue-116-20260903-1704@3d48d2c (QC amended bf18aa1); in parallel 20260903-1652@00ce372,3d48d2c 2026-09-03,data/battery/20260903T170437Z_salt
20260903T214049Z_salt,2,battery,2026-09-03T21:40:49.956552+00:00,2026-09-03 15:40:49 MDT,218.2,salt,NaCl (control),food-safe-2026-08,H,3,ok,True,ok,,feed confirmed,192.23,99.8;266.1;244.0;149.3;201.9,90.0,30.0,bracket,new_fume_hood,6,0,0,0,first new-hood run; first bracket read path; drift -3.6/-1.8/+2.6 mg/min (2.8-3.8 mg over a 17-64 s dose),5531825264;5544565454,claude/issue-116-blockh-recovered@81bbe75; 20260904-1805@0604674,81bbe75 2026-09-03,data/battery/20260903T214049Z_salt
20260904T001821Z_salt,2,demo,2026-09-04T00:18:21.628305+00:00,2026-09-03 18:18:21 MDT,95.2,salt,NaCl (control),food-safe-2026-08,G,3,ok,False,unreviewed,,,,,,,bracket,new_fume_hood,1,0,0,0,"issue #148 1 g demo by sgbaird, skip-checks; QC left 'unreviewed', valid=false",#148 2026-09-04T00:13Z;5544565454,claude/issue-116-20260904-1805@0604674,0604674 2026-09-04,data/battery/20260904T001821Z_salt
20260904T190011Z_white-rice-flour,2,battery,2026-09-04T19:00:11.494223+00:00,2026-09-04 13:00:11 MDT,2589.0,white-rice-flour,White rice flour,food-safe-2026-08,H,3,ok,True,ok,,conveying-slowly,32.6,,90.0,60-90,bracket,new_fume_hood,6,0,0,0,"quietest pre-run survey (0.015 mg jitter, 98 % stable); every error parked at the -5 mg band edge",5544943576;5545827194;5545930757,claude/issue-116-20260904-2013@f3a34de,f3a34de 2026-09-04,data/battery/20260904T190011Z_white-rice-flour
20260904T203727Z_xanthan-gum,2,battery,2026-09-04T20:37:27.608249+00:00,2026-09-04 14:37:27 MDT,509.1,xanthan-gum,Xanthan gum,food-safe-2026-08,H,3,ok,True,ok,,feed confirmed,143.3,,90.0,30,bracket,new_fume_hood,6,0,0,0,"pre-run drift -4.5 mg/min (tares -6.2 to -8.7); bidirectional intra-dose swings of tens of mg, suspected triboelectric charging",5545930757,claude/issue-116-20260904-2013@e50a70f,e50a70f 2026-09-04,data/battery/20260904T203727Z_xanthan-gum
20260908T172730Z_carboxymethyl-cellulose,2,battery,2026-09-08T17:27:30.646788+00:00,2026-09-08 11:27:30 MDT,4837.6,carboxymethyl-cellulose,CMC,food-safe-2026-08,H,3,ok,False,outlet-misaligned,Doser outlet misaligned with enclosure hole; balance measured only a fraction of dispensed powder,,,,,,bracket,new_fume_hood,6,0,0,0,"outlet misaligned with enclosure hole (#156): stream piled behind the hole, balance saw a fraction",5588686080;5590598698,claude/issue-116-20260908-1924@8ffc72e,8ffc72e 2026-09-08,data/battery/20260908T172730Z_carboxymethyl-cellulose
20260908T194201Z_carboxymethyl-cellulose,2,battery,2026-09-08T19:42:01.071124+00:00,2026-09-08 13:42:01 MDT,3194.8,carboxymethyl-cellulose,CMC,food-safe-2026-08,H,3,ok,True,ok,50 mg triple is a clean accuracy measurement; 200 mg triple is feed-limited late in the run (low/caked auger) and its errors are a lower bound on controller capability,,,,,,bracket,new_fume_hood,6,0,0,0,200 mg triple feed-limited (low/caked auger after misaligned run; 20.2 -> 10.7 mg/rev); pre-run drift -11.4 mg/min (#157),5590598698;5592079984,claude/issue-116-20260908-2125@fb39d5d,fb39d5d 2026-09-08,data/battery/20260908T194201Z_carboxymethyl-cellulose
20260909T185352Z_sodium-alginate,2,battery,2026-09-09T18:53:52.488407+00:00,2026-09-09 12:53:52 MDT,3888.7,sodium-alginate,Sodium alginate,food-safe-2026-08,H,3,ok,True,ok,,feed confirmed,4.53,,90,30,bracket,new_fume_hood,6,0,0,0,"launched detached; ~4.5 mg/rev conveyor, all doses stalled/timed out; H5 stalled at 14.3 mg (column depletion)",5606851396;5609012161,claude/issue-116-20260909-2129@2ef5775 (tip 2668e55),2ef5775 2026-09-09,data/battery/20260909T185352Z_sodium-alginate
20260909T225206Z_calcium-lactate,2,battery,2026-09-09T22:52:06.440326+00:00,2026-09-09 16:52:06 MDT,2082.5,calcium-lactate,Calcium lactate,food-safe-2026-08,H,3,capture-interrupted,True,ok,,feed confirmed,288.59,,90,30,bracket,new_fume_hood,5,,,,launch held ~50 min for drift (-9.7 -> ~-2 mg/min); every tare 'did not take' and was subtracted; USB serial corrupted during H5 (row reconstructed from notes),5609012161,claude/issue-116-20260909-2129@2668e55,2668e55 2026-09-09,data/battery/20260909T225206Z_calcium-lactate
20260910T133932Z_sodium-sulfate,2,battery,2026-09-10T13:39:32.068188+00:00,2026-09-10 07:39:32 MDT,489.5,sodium-sulfate,Sodium sulfate,inorganic-2026-08,GH,3,ok,True,ok,,feed confirmed,462.28,542.5;472.7;442.0;432.5;421.8,90,30,bracket,new_fume_hood,9,0,0,0,"pre-roll drift -1.6 mg/min (worst dose bias <= 4.7 mg, sign known); device counters clean",5619383507,claude/issue-116-20260910-1323@927fb87,927fb87 2026-09-10,data/battery/20260910T133932Z_sodium-sulfate
20260910T170858Z_barium-chloride,2,battery,2026-09-10T17:08:58.309454+00:00,2026-09-10 11:08:58 MDT,273.9,barium-chloride,Barium chloride,inorganic-2026-08,GH,3,ok,False,arching-no-feed,column arched (caked hygroscopic BaCl2); delivery flights drained; 9/9 doses stalled; diagnostic verdict arching-responds-to-agitation,feed confirmed,136.72,365.7;200.7;28.2;19.0;70.0,90,30,bracket,new_fume_hood,9,0,0,0,"caked hygroscopic BaCl2 arched over the intake after ~3 weeks loaded; G0 drained the flights (0.345 g), rest stalled",5622273948,claude/issue-116-20260910-1650@642c35a,642c35a 2026-09-10,data/battery/20260910T170858Z_barium-chloride
20260910T194447Z_alsi10mg,2,battery,2026-09-10T19:44:47.911573+00:00,2026-09-10 13:44:47 MDT,899.9,alsi10mg,AlSi10Mg,metal-2026-08,GH,3,ok,True,ok,,feed confirmed,252.05,6.9;111.5;399.7;322.2;420.0,90,30,bracket,new_fume_hood,9,0,0,0,Pi off tailnet 11:37-12:30 MDT; launch held ~70 min for drift after BaCl2 cleanup; run clean (0 shocks),5623309132;5624320823;5625025031,claude/issue-116-20260910-1813@60b5a38,60b5a38 2026-09-10,data/battery/20260910T194447Z_alsi10mg
20260910T212920Z_silicon-325,2,battery,2026-09-10T21:29:20.709985+00:00,2026-09-10 15:29:20 MDT,245.2,silicon-325,Si (-325 mesh),metal-2026-08,GH,3,ok,True,conveying-slowly,,empty-or-blocked,0.0,0.0;0.0;0.0;0.0;0.0,90,30,bracket,new_fume_hood,9,0,0,0,"cohesive powder, agitation-immune; 18.0 auger rev over 9 doses moved 1.6 mg; valid 'cannot dose' measurement",5625482642,claude/issue-116-20260910-2110@d256752,d256752 2026-09-10,data/battery/20260910T212920Z_silicon-325
20260910T231950Z_silicon-110-200_preflight,2,preflight-only,2026-09-10T23:19:50Z,,,silicon-110-200,,,,,,False,dose-gate stand-down (no battery run),,feed confirmed,316.52,328.7;340.1;325.8;296.7;291.3,90,30,,new_fume_hood,0,,,,"stand-down #1 at the dose gate (+/-10-30 mg, ~10 min oscillation); pre-flight only",5626124921,claude/issue-116-20260910-2211@b37b3d9,b37b3d9 2026-09-10,data/battery/20260910T231950Z_silicon-110-200_preflight
20260915T025556Z_silicon-110-200,2,battery,2026-09-15T02:55:56.009768+00:00,2026-09-14 20:55:56 MDT,557.0,silicon-110-200,Si (-110/+200 mesh),metal-2026-08,GH,3,ok,True,ok,"H dose n=2 (50 mg, +5.2 mg overshoot) delivered with 0.0 auger rev and 0 taps -- mass arrived without actuation (afterflow/settling), so it is not a controller measurement; keep for afterflow accounting only. H dose n=5 (200 mg, +32.6 mg overshoot) IS a valid measurement of the frozen fine-increment quantum.",feed confirmed,276.5,289.6;276.6;284.8;259.5;272.0,90,30,bracket,new_fume_hood,9,0,0,0,"attempt #5, evening empty lab, gate passed on window 2; H2 excluded in QC (0 rev, 0 taps: afterflow)",5673425201;5673671255,claude/issue-116-20260915-0219@356d45b+105f0eb,356d45b 2026-09-15,data/battery/20260915T025556Z_silicon-110-200
20260915T164228Z_salt-demo,2,demo,2026-09-15T16:42:28.424290+00:00,2026-09-15 10:42:28 MDT,104.4,salt-demo,NaCl (control),demo,G,3,ok,False,demo,,feed confirmed,216.8,163.2;208.0;236.7;246.3;229.9,90,30,bracket,new_fume_hood,1,0,0,0,"0.5 g demo; gate not passed (+2.9 mg/min drift), kept out of battery_runs (batch demo)",5683919348,claude/issue-116-20260915-1622@2522858,2522858 2026-09-15,data/battery/20260915T164228Z_salt-demo
